Date,Site,Probe_meter,Reach_Lenght_m,Slug_type,Addition_Time,Time_hms,NaCl_added_g,Times_s,SpC_uScm,Backg_SpC_uScm,NaCl_conc_mgL
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:15,6000,975,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:20,6000,980,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:25,6000,985,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:30,6000,990,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:35,6000,995,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:40,6000,1000,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:45,6000,1005,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:50,6000,1010,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:55,6000,1015,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:00,6000,1020,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:05,6000,1025,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:10,6000,1030,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:15,6000,1035,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:20,6000,1040,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:25,6000,1045,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:30,6000,1050,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:35,6000,1055,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:40,6000,1060,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:45,6000,1065,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:50,6000,1070,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:08:55,6000,1075,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:00,6000,1080,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:05,6000,1085,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:10,6000,1090,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:15,6000,1095,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:20,6000,1100,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:25,6000,1105,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:30,6000,1110,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:35,6000,1115,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:40,6000,1120,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:45,6000,1125,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:50,6000,1130,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:09:55,6000,1135,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:00,6000,1140,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:05,6000,1145,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:10,6000,1150,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:15,6000,1155,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:20,6000,1160,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:25,6000,1165,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:30,6000,1170,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:35,6000,1175,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:40,6000,1180,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:45,6000,1185,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:50,6000,1190,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:10:55,6000,1195,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:00,6000,1200,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:05,6000,1205,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:10,6000,1210,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:15,6000,1215,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:20,6000,1220,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:25,6000,1225,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:30,6000,1230,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:35,6000,1235,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:40,6000,1240,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:45,6000,1245,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:50,6000,1250,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:11:55,6000,1255,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:00,6000,1260,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:05,6000,1265,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:10,6000,1270,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:15,6000,1275,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:20,6000,1280,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:25,6000,1285,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:30,6000,1290,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:35,6000,1295,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:40,6000,1300,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:45,6000,1305,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:50,6000,1310,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:12:55,6000,1315,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:00,6000,1320,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:05,6000,1325,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:10,6000,1330,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:15,6000,1335,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:20,6000,1340,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:25,6000,1345,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:30,6000,1350,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:35,6000,1355,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:40,6000,1360,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:45,6000,1365,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:50,6000,1370,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:13:55,6000,1375,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:00,6000,1380,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:05,6000,1385,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:10,6000,1390,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:15,6000,1395,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:20,6000,1400,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:25,6000,1405,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:30,6000,1410,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:35,6000,1415,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:40,6000,1420,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:45,6000,1425,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:50,6000,1430,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:14:55,6000,1435,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:00,6000,1440,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:05,6000,1445,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:10,6000,1450,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:15,6000,1455,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:20,6000,1460,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:25,6000,1465,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:30,6000,1470,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:35,6000,1475,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:40,6000,1480,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:45,6000,1485,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:50,6000,1490,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:15:55,6000,1495,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:00,6000,1500,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:05,6000,1505,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:10,6000,1510,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:15,6000,1515,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:20,6000,1520,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:25,6000,1525,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:16:30,6000,1530,462,0,0
