event_id,sample_btc,p_coprec_ugL,conc_corr_ugL,sigma_label,sigma_molm2,p_coprec_ugL_sens,frac_of_srp_sens
CD_20231009_single,31,0.12297528257398639,4.6432,field_high,9.5e-8,0.21241185171870378,0.04574686675540657
CD_20231009_single,31,0.12297528257398639,4.6432,field_low,5.5e-8,0.12297528257398639,0.02648502812155117
CD_20231009_single,31,0.12297528257398639,4.6432,lab_ceiling,1.5e-7,0.3353871342926901,0.07223189487695772
CD_20231009_single,32,0.07814910078377058,0.3449,field_high,9.5e-8,0.13498481044469463,0.3913737617996365
CD_20231009_single,32,0.07814910078377058,0.3449,field_low,5.5e-8,0.07814910078377058,0.22658480946294746
CD_20231009_single,32,0.07814910078377058,0.3449,lab_ceiling,1.5e-7,0.2131339112284652,0.6179585712625839
RA_20230906_P,3,0.03274271792286289,3.2661,field_high,9.5e-8,0.056555603684944986,0.017315943689704842
RA_20230906_P,3,0.03274271792286289,3.2661,field_low,5.5e-8,0.03274271792286289,0.010025020030881751
RA_20230906_P,3,0.03274271792286289,3.2661,lab_ceiling,1.5e-7,0.08929832160780787,0.027340963720586597
RA_20230906_P,4,0.029475392525099686,2.4054,field_high,9.5e-8,0.05091204163426309,0.021165727793407786
RA_20230906_P,4,0.029475392525099686,2.4054,field_low,5.5e-8,0.029475392525099686,0.012253842406709771
RA_20230906_P,4,0.029475392525099686,2.4054,lab_ceiling,1.5e-7,0.08038743415936277,0.03341957020011755
RA_20230906_P,5,0.027183484383376217,1.8033,field_high,9.5e-8,0.04695329120764983,0.026037426500110813
RA_20230906_P,5,0.027183484383376217,1.8033,field_low,5.5e-8,0.027183484383376217,0.015074299552695734
RA_20230906_P,5,0.027183484383376217,1.8033,lab_ceiling,1.5e-7,0.07413677559102604,0.041111726052806545
RA_20230906_P,6,0.03545130905825479,3.9817,field_high,9.5e-8,0.061234079282440096,0.015378878188321595
RA_20230906_P,6,0.03545130905825479,3.9817,field_low,5.5e-8,0.03545130905825479,0.008903561056396713
RA_20230906_P,6,0.03545130905825479,3.9817,lab_ceiling,1.5e-7,0.09668538834069487,0.024282439244718304
RA_20230906_P,7,0.03329372099836982,3.4115,field_high,9.5e-8,0.057507336269911516,0.016856906425300165
RA_20230906_P,7,0.03329372099836982,3.4115,field_low,5.5e-8,0.03329372099836982,0.009759261614647463
RA_20230906_P,7,0.03329372099836982,3.4115,lab_ceiling,1.5e-7,0.09080105726828133,0.026616168039947628
RA_20230906_P,8,0.066588933131025,12.3479,field_high,9.5e-8,0.11501724813540681,0.009314721380591584
RA_20230906_P,8,0.066588933131025,12.3479,field_low,5.5e-8,0.066588933131025,0.005392733430868812
RA_20230906_P,8,0.066588933131025,12.3479,lab_ceiling,1.5e-7,0.1816061812664318,0.014707454811460395
RA_20230906_P,9,0.06755294424517182,12.6111,field_high,9.5e-8,0.11668235824166041,0.009252353739297952
RA_20230906_P,9,0.06755294424517182,12.6111,field_low,5.5e-8,0.06755294424517182,0.005356625849067235
RA_20230906_P,9,0.06755294424517182,12.6111,lab_ceiling,1.5e-7,0.1842353024868322,0.014608979588365186
RA_20230906_P,10,0.0686587579924372,12.9133,field_high,9.5e-8,0.11859240016875516,0.009183740807443115
RA_20230906_P,10,0.0686587579924372,12.9133,field_low,5.5e-8,0.0686587579924372,0.0053169025727302244
RA_20230906_P,10,0.0686587579924372,12.9133,lab_ceiling,1.5e-7,0.18725115816119237,0.014500643380173338
RA_20230906_P,11,0.049213996040378336,7.6476,field_high,9.5e-8,0.08500599316065349,0.01111538170937987
RA_20230906_P,11,0.049213996040378336,7.6476,field_low,5.5e-8,0.049213996040378336,0.006435220989640977
RA_20230906_P,11,0.049213996040378336,7.6476,lab_ceiling,1.5e-7,0.13421998920103181,0.017550602699020847
RA_20230906_P,12,0.03333994705077086,3.4237,field_high,9.5e-8,0.05758718126951331,0.016820159847391217
RA_20230906_P,12,0.03333994705077086,3.4237,field_low,5.5e-8,0.03333994705077086,0.009737987280068599
RA_20230906_P,12,0.03333994705077086,3.4237,lab_ceiling,1.5e-7,0.09092712832028416,0.02655814712745981
RA_20230906_P,13,0.04065456961202502,5.3618,field_high,9.5e-8,0.0702215293298614,0.01309663346821243
RA_20230906_P,13,0.04065456961202502,5.3618,field_low,5.5e-8,0.04065456961202502,0.0075822614815966695
RA_20230906_P,13,0.04065456961202502,5.3618,lab_ceiling,1.5e-7,0.11087609894188642,0.0206788949498091
RA_20230906_P,15,0.041469934450786824,5.5787,field_high,9.5e-8,0.07162988677863179,0.012839888644062556
RA_20230906_P,15,0.041469934450786824,5.5787,field_low,5.5e-8,0.041469934450786824,0.007433619741299375
RA_20230906_P,15,0.041469934450786824,5.5787,lab_ceiling,1.5e-7,0.1130998212294186,0.02027350838536193
RA_20230906_P,16,0.0690218437478584,13.0126,field_high,9.5e-8,0.11921954829175542,0.009161854532664911
RA_20230906_P,16,0.0690218437478584,13.0126,field_low,5.5e-8,0.0690218437478584,0.005304231571542843
RA_20230906_P,16,0.0690218437478584,13.0126,lab_ceiling,1.5e-7,0.1882413920396138,0.014466086104207751
RA_20230906_P,17,0.029808508597290916,2.493,field_high,9.5e-8,0.05148742394077522,0.020652797409055443
RA_20230906_P,17,0.029808508597290916,2.493,field_low,5.5e-8,0.029808508597290916,0.011956882710505783
RA_20230906_P,17,0.029808508597290916,2.493,lab_ceiling,1.5e-7,0.08129593253806612,0.032609680119561224
RA_20230906_P,18,0.04581588173664074,6.7378,field_high,9.5e-8,0.07913652299965218,0.011745157618162038
RA_20230906_P,18,0.04581588173664074,6.7378,field_low,5.5e-8,0.04581588173664074,0.006799828094725391
RA_20230906_P,18,0.04581588173664074,6.7378,lab_ceiling,1.5e-7,0.1249524047362929,0.018544985712887426
RA_20230906_P,19,0.05104428598701082,8.1389,field_high,9.5e-8,0.08816740306847323,0.010832840195661974
RA_20230906_P,19,0.05104428598701082,8.1389,field_low,5.5e-8,0.05104428598701082,0.006271644323804301
RA_20230906_P,19,0.05104428598701082,8.1389,lab_ceiling,1.5e-7,0.13921168905548406,0.017104484519466275
RA_20230906_P,20,0.02338617200987042,0.8087,field_high,9.5e-8,0.040394297107958,0.04994966873742797
RA_20230906_P,20,0.02338617200987042,0.8087,field_low,5.5e-8,0.02338617200987042,0.028918229269037247
RA_20230906_P,20,0.02338617200987042,0.8087,lab_ceiling,1.5e-7,0.06378046911782842,0.07886789800646522
RA_20230906_P,21,0.021292083387784166,0.2618,field_high,9.5e-8,0.036777234942536284,0.1404783611250431
RA_20230906_P,21,0.021292083387784166,0.2618,field_low,5.5e-8,0.021292083387784166,0.08132957749344602
RA_20230906_P,21,0.021292083387784166,0.2618,lab_ceiling,1.5e-7,0.058069318330320446,0.22180793861848913
RA_20230906_P,22,0.045377630282388906,6.6207,field_high,9.5e-8,0.07837954321503539,0.01183855834202356
