stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
RA,20230906,11,9.466357924563385e-12,1.353696568787399e-7,1.4545435103973491e-8
RA,20230906,12,6.362691321472187e-12,9.09869823090122e-8,9.776528041787246e-9
RA,20230906,13,7.786765873838115e-12,1.1135135951297366e-7,1.1964675178175373e-8
RA,20230906,15,7.946148194748135e-12,1.1363053913686495e-7,1.2209572447430593e-8
RA,20230906,16,1.3408629271296551e-11,1.9174444470980225e-7,2.0602891677358428e-8
RA,20230906,17,5.678836638508788e-12,8.120780698885394e-8,8.72575814793166e-9
RA,20230906,18,8.797845242320873e-12,1.258098733658604e-7,1.3518238803851504e-8
RA,20230906,19,9.827369773731486e-12,1.4053215448769222e-7,1.510014415529871e-8
RA,20230906,20,4.4412505203512775e-12,6.35102289437472e-8,6.8241579009634945e-9
RA,20230906,21,4.039406342523547e-12,5.776382584925741e-8,6.206708354149333e-9
RA,20230906,22,8.711792159112418e-12,1.2457930756218876e-7,1.3386014822117403e-8
RA,20230906,23,8.633454556216596e-12,1.2345907372894318e-7,1.326564598246429e-8
RA,20230906,24,4.979465179563742e-12,7.12067405615517e-8,7.651146111209489e-9
RA,20230906,25,NA,NA,NA
RA,20231005,3,7.8390229408443275e-12,1.1254067870192759e-7,1.2105821503214924e-8
RA,20231005,4,8.182313031891931e-12,1.174691117642733e-7,1.2635965195535419e-8
RA,20231005,5,6.934049654561435e-12,9.954845905747031e-8,1.0708269135835511e-8
RA,20231005,6,6.836060300553854e-12,9.814167807356488e-8,1.0556943946742046e-8
RA,20231005,7,2.0750889851429355e-12,2.9790947738918947e-8,3.204564784029332e-9
RA,20231005,8,4.283502195246596e-12,6.149596039099305e-8,6.615022481194491e-9
RA,20231005,9,9.752805875173699e-11,1.4001584135203181e-6,1.5061280974850925e-7
RA,20231005,10,1.4256225222843465e-11,2.046690352118727e-7,2.201592203004631e-8
RA,20231005,11,5.468366709026007e-12,7.850642936867466e-8,8.444811527297493e-9
